,Date,Sentiment Score,Sentiment Label,Topic
0,2022-03-04,0.176178,Somewhat-Bullish,financial_market_news
1,2022-03-04,0.288176,Somewhat-Bullish,financial_market_news
2,2022-03-04,-0.058874,Neutral,financial_market_news
3,2022-03-04,0.025208,Neutral,financial_market_news
4,2022-03-05,-0.032453,Neutral,financial_market_news
5,2022-03-04,0.003929,Neutral,financial_market_news
6,2022-03-04,-0.061099,Neutral,financial_market_news
7,2022-03-04,0.15932,Somewhat-Bullish,financial_market_news
8,2022-03-05,0.225583,Somewhat-Bullish,financial_market_news
9,2022-03-05,-0.048879,Neutral,financial_market_news
10,2022-03-04,-0.014767,Neutral,financial_market_news
11,2022-03-04,0.177441,Somewhat-Bullish,financial_market_news
12,2022-03-05,0.109051,Neutral,financial_market_news
13,2022-03-04,0.192551,Somewhat-Bullish,financial_market_news
14,2022-03-04,-0.371004,Bearish,financial_market_news
15,2022-03-04,0.086848,Neutral,financial_market_news
16,2022-03-04,0.187974,Somewhat-Bullish,financial_market_news
17,2022-03-04,0.197896,Somewhat-Bullish,financial_market_news
18,2022-03-04,0.175368,Somewhat-Bullish,financial_market_news
19,2022-03-04,2e-05,Neutral,financial_market_news
20,2022-03-05,-0.388875,Bearish,financial_market_news
21,2022-03-04,-0.049737,Neutral,financial_market_news
22,2022-03-04,0.042862,Neutral,financial_market_news
23,2022-03-04,0.027465,Neutral,financial_market_news
24,2022-03-04,0.066709,Neutral,financial_market_news
25,2022-03-04,-0.041799,Neutral,financial_market_news
26,2022-03-04,0.05947,Neutral,financial_market_news
27,2022-03-04,-0.456628,Bearish,financial_market_news
28,2022-03-04,0.115781,Neutral,financial_market_news
29,2022-03-04,0.018799,Neutral,financial_market_news
30,2022-03-04,-0.083343,Neutral,financial_market_news
31,2022-03-04,-0.024831,Neutral,financial_market_news
32,2022-03-04,0.078099,Neutral,financial_market_news
33,2022-03-05,-0.272151,Somewhat-Bearish,financial_market_news
34,2022-03-05,-0.251155,Somewhat-Bearish,financial_market_news
35,2022-03-04,0.125201,Neutral,financial_market_news
36,2022-03-05,-0.274549,Somewhat-Bearish,financial_market_news
37,2022-03-05,0.327699,Somewhat-Bullish,financial_market_news
38,2022-03-04,-0.026928,Neutral,financial_market_news
39,2022-03-04,-0.416502,Bearish,financial_market_news
40,2022-03-05,-0.039376,Neutral,financial_market_news
41,2022-03-05,-0.316809,Somewhat-Bearish,financial_market_news
42,2022-03-05,0.047627,Neutral,financial_market_news
43,2022-03-05,0.092983,Neutral,financial_market_news
44,2022-03-04,-0.011674,Neutral,financial_market_news
45,2022-03-05,0.082638,Neutral,financial_market_news
46,2022-03-05,0.071477,Neutral,financial_market_news
47,2022-03-04,-0.218787,Somewhat-Bearish,financial_market_news
48,2022-03-04,0.008359,Neutral,financial_market_news
49,2022-03-05,-0.319741,Somewhat-Bearish,financial_market_news
50,2022-03-04,0.025624,Neutral,financial_market_news
51,2022-03-04,0.058786,Neutral,financial_market_news
52,2022-03-04,0.042454,Neutral,financial_market_news
53,2022-03-04,0.025855,Neutral,financial_market_news
54,2022-03-05,-0.517722,Bearish,financial_market_news
55,2022-03-04,-0.23082,Somewhat-Bearish,financial_market_news
56,2022-03-04,-0.035724,Neutral,financial_market_news
57,2022-03-04,-0.018062,Neutral,financial_market_news
58,2022-03-04,-0.022744,Neutral,financial_market_news
59,2022-03-05,-0.014142,Neutral,financial_market_news
60,2022-03-05,-0.020853,Neutral,financial_market_news
61,2022-03-05,-0.080804,Neutral,financial_market_news
62,2022-03-04,-0.046039,Neutral,financial_market_news
63,2022-03-04,0.109629,Neutral,financial_market_news
64,2022-03-04,0.101475,Neutral,financial_market_news
65,2022-03-04,-0.057098,Neutral,financial_market_news
66,2022-03-04,-0.013438,Neutral,financial_market_news
67,2022-03-04,0.112777,Neutral,financial_market_news
68,2022-03-04,0.142439,Neutral,financial_market_news
69,2022-03-04,-0.416837,Bearish,financial_market_news
70,2022-03-06,-0.365286,Bearish,financial_market_news
71,2022-03-05,-0.278347,Somewhat-Bearish,financial_market_news
72,2022-03-04,0.022586,Neutral,financial_market_news
73,2022-03-04,0.133938,Neutral,financial_market_news
74,2022-03-04,-0.131951,Neutral,financial_market_news
75,2022-03-04,-0.178399,Somewhat-Bearish,financial_market_news
76,2022-03-04,0.134301,Neutral,financial_market_news
77,2022-03-04,0.101852,Neutral,financial_market_news
78,2022-03-04,-0.006859,Neutral,financial_market_news
79,2022-03-05,-0.440789,Bearish,financial_market_news
80,2022-03-05,-0.00119,Neutral,financial_market_news
81,2022-03-05,-0.273194,Somewhat-Bearish,financial_market_news
82,2022-03-05,-0.371691,Bearish,financial_market_news
83,2022-03-04,-0.157447,Somewhat-Bearish,financial_market_news
84,2022-03-04,-0.06093,Neutral,financial_market_news
85,2022-03-04,-0.00682,Neutral,financial_market_news
86,2022-03-05,-0.040365,Neutral,financial_market_news
